Subject,Experiment,Pilot,Type,Condition,,Chunk.Time,Response.Time,Response,Total.Time
kp1987,2,1,experimental_trial,B,0,1077,4214,Somewhat incomplete,5318
kp1987,2,1,experimental_trial,B,1,663,4214,Somewhat incomplete,5318
kp1987,2,1,experimental_trial,B,2,622,4214,Somewhat incomplete,5318
kp1987,2,1,experimental_trial,B,3,595,4214,Somewhat incomplete,5318
kp1987,2,1,experimental_trial,B,4,612,4214,Somewhat incomplete,5318
kp1987,2,1,experimental_trial,B,5,1089,4214,Somewhat incomplete,5318
kp1987,2,1,experimental_trial,B,6,660,4214,Somewhat incomplete,5318
kp1987,2,1,filler,1,0,834,4306,Totally incomplete,6642
kp1987,2,1,filler,1,1,855,4306,Totally incomplete,6642
kp1987,2,1,filler,1,2,951,4306,Totally incomplete,6642
kp1987,2,1,filler,1,3,944,4306,Totally incomplete,6642
kp1987,2,1,filler,1,4,1002,4306,Totally incomplete,6642
kp1987,2,1,filler,1,5,1065,4306,Totally incomplete,6642
kp1987,2,1,filler,1,6,991,4306,Totally incomplete,6642
kp1987,2,1,experimental_trial,C,0,1026,2402,Somewhat incomplete,7165
kp1987,2,1,experimental_trial,C,1,1001,2402,Somewhat incomplete,7165
kp1987,2,1,experimental_trial,C,2,1010,2402,Somewhat incomplete,7165
kp1987,2,1,experimental_trial,C,3,977,2402,Somewhat incomplete,7165
kp1987,2,1,experimental_trial,C,4,1066,2402,Somewhat incomplete,7165
kp1987,2,1,experimental_trial,C,5,1050,2402,Somewhat incomplete,7165
kp1987,2,1,experimental_trial,C,6,1035,2402,Somewhat incomplete,7165
,,,,,,,,,
kp1987,2,1,experimental_trial,B,0,1362,4157,Totally complete,9092
,,,,,,,,,
kp1987,2,1,experimental_trial,B,1,1270,4157,Totally complete,9092
,,,,,,,,,
kp1987,2,1,experimental_trial,B,2,1239,4157,Totally complete,9092
,,,,,,,,,
kp1987,2,1,experimental_trial,B,3,1249,4157,Totally complete,9092
,,,,,,,,,
kp1987,2,1,experimental_trial,B,4,1264,4157,Totally complete,9092
,,,,,,,,,
kp1987,2,1,experimental_trial,B,5,1438,4157,Totally complete,9092
,,,,,,,,,
kp1987,2,1,experimental_trial,B,6,1270,4157,Totally complete,9092
,,,,,,,,,
kp1987,2,1,experimental_trial,C,0,990,2313,Somewhat incomplete,6958
,,,,,,,,,
kp1987,2,1,experimental_trial,C,1,1000,2313,Somewhat incomplete,6958
,,,,,,,,,
kp1987,2,1,experimental_trial,C,2,994,2313,Somewhat incomplete,6958
,,,,,,,,,
kp1987,2,1,experimental_trial,C,3,977,2313,Somewhat incomplete,6958
,,,,,,,,,
kp1987,2,1,experimental_trial,C,4,1125,2313,Somewhat incomplete,6958
,,,,,,,,,
kp1987,2,1,experimental_trial,C,5,969,2313,Somewhat incomplete,6958
,,,,,,,,,
kp1987,2,1,experimental_trial,C,6,903,2313,Somewhat incomplete,6958
,,,,,,,,,
kp1987,2,1,filler,3,0,774,10194,Totally incomplete,6041
,,,,,,,,,
kp1987,2,1,filler,3,1,713,10194,Totally incomplete,6041
,,,,,,,,,
kp1987,2,1,filler,3,2,808,10194,Totally incomplete,6041
,,,,,,,,,
kp1987,2,1,filler,3,3,908,10194,Totally incomplete,6041
,,,,,,,,,
kp1987,2,1,filler,3,4,923,10194,Totally incomplete,6041
,,,,,,,,,
kp1987,2,1,filler,3,5,981,10194,Totally incomplete,6041
,,,,,,,,,
kp1987,2,1,filler,3,6,934,10194,Totally incomplete,6041
,,,,,,,,,
kp1987,2,1,filler,2,0,1076,2868,Somewhat complete,7551
,,,,,,,,,
kp1987,2,1,filler,2,1,997,2868,Somewhat complete,7551
,,,,,,,,,
kp1987,2,1,filler,2,2,1055,2868,Somewhat complete,7551
,,,,,,,,,
kp1987,2,1,filler,2,3,1056,2868,Somewhat complete,7551
,,,,,,,,,
kp1987,2,1,filler,2,4,1097,2868,Somewhat complete,7551
,,,,,,,,,
kp1987,2,1,filler,2,5,1143,2868,Somewhat complete,7551
,,,,,,,,,
kp1987,2,1,filler,2,6,1127,2868,Somewhat complete,7551
,,,,,,,,,
kp1987,2,1,experimental_trial,C,0,1247,3117,Somewhat incomplete,8377
,,,,,,,,,
kp1987,2,1,experimental_trial,C,1,1227,3117,Somewhat incomplete,8377
,,,,,,,,,
kp1987,2,1,experimental_trial,C,2,1203,3117,Somewhat incomplete,8377
,,,,,,,,,
kp1987,2,1,experimental_trial,C,3,1188,3117,Somewhat incomplete,8377
,,,,,,,,,
kp1987,2,1,experimental_trial,C,4,1217,3117,Somewhat incomplete,8377
,,,,,,,,,
kp1987,2,1,experimental_trial,C,5,1163,3117,Somewhat incomplete,8377
,,,,,,,,,
kp1987,2,1,experimental_trial,C,6,1132,3117,Somewhat incomplete,8377
,,,,,,,,,
kp1987,2,1,filler,3,0,1368,3678,Somewhat incomplete,8921
,,,,,,,,,
kp1987,2,1,filler,3,1,1133,3678,Somewhat incomplete,8921
,,,,,,,,,
kp1987,2,1,filler,3,2,1185,3678,Somewhat incomplete,8921
,,,,,,,,,
kp1987,2,1,filler,3,3,1347,3678,Somewhat incomplete,8921
,,,,,,,,,
kp1987,2,1,filler,3,4,1331,3678,Somewhat incomplete,8921
,,,,,,,,,
kp1987,2,1,filler,3,5,1215,3678,Somewhat incomplete,8921
,,,,,,,,,
kp1987,2,1,filler,3,6,1342,3678,Somewhat incomplete,8921
,,,,,,,,,
kp1987,2,1,experimental_trial,B,0,1294,3322,Somewhat complete,8894
,,,,,,,,,
kp1987,2,1,experimental_trial,B,1,1297,3322,Somewhat complete,8894
,,,,,,,,,
kp1987,2,1,experimental_trial,B,2,1206,3322,Somewhat complete,8894
,,,,,,,,,
kp1987,2,1,experimental_trial,B,3,1155,3322,Somewhat complete,8894
,,,,,,,,,
kp1987,2,1,experimental_trial,B,4,1509,3322,Somewhat complete,8894
,,,,,,,,,
kp1987,2,1,experimental_trial,B,5,1198,3322,Somewhat complete,8894
,,,,,,,,,
kp1987,2,1,experimental_trial,B,6,1235,3322,Somewhat complete,8894
,,,,,,,,,
kp1987,2,1,experimental_trial,C,0,1205,2172,Totally complete,8762
,,,,,,,,,
kp1987,2,1,experimental_trial,C,1,1135,2172,Totally complete,8762
,,,,,,,,,
kp1987,2,1,experimental_trial,C,2,1076,2172,Totally complete,8762
,,,,,,,,,
kp1987,2,1,experimental_trial,C,3,1116,2172,Totally complete,8762
,,,,,,,,,
kp1987,2,1,experimental_trial,C,4,1391,2172,Totally complete,8762
,,,,,,,,,
kp1987,2,1,experimental_trial,C,5,1329,2172,Totally complete,8762
,,,,,,,,,
kp1987,2,1,experimental_trial,C,6,1510,2172,Totally complete,8762
,,,,,,,,,
kp1987,2,1,filler,3,0,1102,2403,Somewhat incomplete,8896
,,,,,,,,,
kp1987,2,1,filler,3,1,1161,2403,Somewhat incomplete,8896
,,,,,,,,,
kp1987,2,1,filler,3,2,1425,2403,Somewhat incomplete,8896
,,,,,,,,,
kp1987,2,1,filler,3,3,1349,2403,Somewhat incomplete,8896
,,,,,,,,,
kp1987,2,1,filler,3,4,1237,2403,Somewhat incomplete,8896
,,,,,,,,,
kp1987,2,1,filler,3,5,1292,2403,Somewhat incomplete,8896
,,,,,,,,,
